name,team,position,cap_number_17_18,cap_number_18_19,salary_17_18,salary_18_19,salary_19_20,salary_20_21,salary_21_22
"Hart, Carter",PHI,Goaltender,0.925,0.925,0.792,0.843,RFA,,
"Girard, Samuel",NAS,Defence,0.925,0.925,0.743,0.743,RFA,,
"White, Colton",NJD,Defence,0.925,0.925,0.743,0.743,RFA,,
"Speers, Blake",NJD,Center,0.925,0.925,0.743,0.743,RFA,,
"Gagne, Gabriel",OTT,Right,0.925,0.925,0.743,0.792,RFA,,
"Knott, Graham ",CHI,Left,0.925,0.925,0.743,0.743,RFA,,
"Allard, Frederic",NAS,Defence,0.925,0.925,0.743,0.743,RFA,,
"Schemitsch, Thomas",FLA,Defence,0.925,0.925,0.743,0.743,RFA,,
"Starrett, Shane",EDM,Goaltender,0.925,0.925,0.792,0.843,RFA,,
"Paigin, Ziyat",EDM,Defence,0.925,0.925,0.792,0.925,RFA,,
"Vande Sompel, Mitchell",NYI,Defence,0.925,0.925,0.743,0.743,RFA,,
"Dyblenko, Yaroslav",NJD,Defence,0.925,0.925,0.843,0.843,RFA,,
"Redmond, Angus",ANA,Goaltender,0.925,0.925,0.792,0.843,0.892,RFA,
"Ehn, Christoffer",DET,Center,0.925,0.925,0.743,0.743,0.792,RFA,
"Katchouk, Boris",TBL,Left,0.925,0.925,0.743,0.925,0.925,RFA,
"Noel, Nathan",CHI,Center,0.925,0.925,0.743,0.767,0.818,RFA,
"Vorobyov, Mikhail",PHI,Center,0.925,0.925,0.743,0.792,0.818,RFA,
"Pettersson, Emil",NAS,Center,0.925,0.925,0.925,0.925,RFA,,
"Grundstrom, Carl",TOR,Left,0.925,0.925,0.925,0.925,0.925,RFA,
"Jerabek, Jakub",MTL,Defence,0.925,0.000,0.925,UFA,,,
"Stenlund, Kevin",CLB,Center,0.925,0.925,0.743,0.925,0.925,RFA,
"Sulak, Libor",DET,Defence,0.925,0.925,0.743,0.925,RFA,,
"Holm, Phillip",VAN,Defence,0.925,0.000,0.925,RFA,,,
"Johansson, Jonas",BUF,Goaltender,0.925,0.925,0.743,0.743,0.792,RFA,
"Nielsen, Andrew",TOR,Defence,0.922,0.922,0.743,0.650,0.700,RFA,
"Niku, Sami",WPG,Defence,0.917,0.917,0.743,0.743,0.840,RFA,
"Danault, Phillip",MTL,Center,0.912,0.000,0.950,RFA,,,
"Bertuzzi, Tyler",DET,Left,0.911,0.000,0.650,RFA,,,
"Sideroff, Deven",ANA,Right,0.911,0.911,0.667,0.743,0.700,RFA,
"Cassels, Cole",VAN,Center,0.905,0.000,0.650,RFA,,,
"Bailey, Justin",BUF,Right,0.902,0.000,0.650,RFA,,,
"Korpisalo, Joonas",CLB,Goaltender,0.900,0.900,0.700,1.100,UFA,,
"Boll, Jared",ANA,Right,0.900,0.000,0.900,UFA,,,
"Nash, Riley",BOS,Center,0.900,0.000,0.900,UFA,,,
"Zatkoff, Jeff",LAK,Goaltender,0.900,0.000,0.900,UFA,,,
"Granlund, Markus",VAN,Center,0.900,0.000,0.950,RFA,,,
"Kempny, Michal",CHI,Defence,0.900,0.000,0.900,UFA,,,
"Vladar, Daniel",BOS,Goaltender,0.894,0.894,0.693,0.743,0.700,RFA,
"McKeown, Roland",CAR,Defence,0.894,0.894,0.767,0.750,RFA,,
"Kolesar, Keegan",CLB,Right,0.894,0.894,0.693,0.715,RFA,,
"Dickinson, Jason",DAL,Center,0.894,0.000,0.833,RFA,,,
"Erne, Adam",TBL,Left,0.894,0.000,0.833,RFA,,,
"Bowey, Madison",WAS,Defence,0.894,0.000,0.750,RFA,,,
"Vannelli, Thomas",STL,Defence,0.894,0.000,0.775,RFA,,,
"Nedeljkovic, Alex",CAR,Goaltender,0.894,0.894,0.843,0.800,RFA,,
"Verhaeghe, Carter",NYI,Center,0.894,0.000,0.750,RFA,,,
"Masin, Dominik",TBL,Defence,0.894,0.894,0.925,0.833,RFA,,
"Martin, Spencer",COL,Goaltender,0.894,0.000,0.750,RFA,,,
"Chase, Gregory",EDM,Center,0.894,0.000,0.710,RFA,,,
"Hagg, Robert",PHI,Defence,0.894,0.000,0.833,RFA,,,
"Steel, Sam",ANA,Center,0.894,0.894,0.925,0.925,0.833,RFA,
"Chlapik, Filip",OTT,Center,0.894,0.894,0.743,0.743,0.700,RFA,
"Desrosiers, Philippe",DAL,Goaltender,0.894,0.000,0.650,RFA,,,
"Valiev, Rinat",TOR,Defence,0.894,0.000,0.750,RFA,,,
"Paul, Nick",OTT,Left,0.894,0.000,0.650,RFA,,,
"Dauphin, Laurent",ARI,Center,0.894,0.000,0.750,RFA,,,
"Elie, Remi",DAL,Left,0.894,0.000,0.700,RFA,,,
"Jarry, Tristan",PIT,Goaltender,0.894,0.000,0.650,RFA,,,
"MacInnis, Ryan",ARI,Center,0.894,0.894,0.843,0.833,RFA,,
"Pettersson, Marcus",ANA,Defence,0.894,0.894,0.825,0.833,RFA,,
"Holmstrom, Axel",DET,Center,0.894,0.894,0.743,0.650,RFA,,
"Siebenaler, Blake",CLB,Defence,0.894,0.894,0.693,0.675,RFA,,
"Kempe, Adrian",LAK,Left,0.894,0.894,0.925,0.833,RFA,,
"Point, Brayden",TBL,Center,0.894,0.894,0.667,0.650,RFA,,
"McDonald, Mason",CGY,Goaltender,0.894,0.894,0.843,0.833,RFA,,
"Cernak, Erik",TBL,Defence,0.894,0.894,0.723,0.685,RFA,,
"Turgeon, Dominic",DET,Center,0.894,0.894,0.667,0.650,RFA,,
"Saarijarvi, Vili",DET,Defence,0.894,0.894,0.667,0.650,RFA,,
"Trenin, Yakov",NAS,Center,0.894,0.894,0.792,0.750,RFA,,
"Kamenev, Vladislav",NAS,Left,0.894,0.894,0.925,0.833,RFA,,
"Quenneville, John",NJD,Center,0.894,0.894,0.843,0.750,RFA,,
"Halverson, Brandon",NYR,Goaltender,0.894,0.894,0.743,0.833,RFA,,
"Opilka, Luke",STL,Goaltender,0.894,0.894,0.667,0.650,RFA,,
"Saarela, Aleksi",CAR,Center,0.894,0.894,0.718,0.767,0.750,RFA,
"Blackwood, Mackenzie ",NJD,Goaltender,0.894,0.894,0.667,0.700,RFA,,
"Gropp, Ryan",NYR,Left,0.894,0.894,0.925,0.833,RFA,,
"Gabrielle, Jesse",BOS,Left,0.894,0.894,0.743,0.743,0.725,RFA,
"Zykov, Valentin",CAR,Left,0.894,0.000,0.685,RFA,,,
"Pollock, Brett",CGY,Center,0.894,0.894,0.743,0.700,RFA,,
"Benson, Tyler",EDM,Left,0.894,0.894,0.792,0.892,0.833,RFA,
"Capobianco, Kyle",ARI,Defence,0.894,0.894,0.743,0.767,0.725,RFA,
"Carlo, Brandon ",BOS,Defence,0.894,0.894,0.818,0.833,RFA,,
"Dunn, Vince",STL,Defence,0.894,0.894,0.743,0.775,RFA,,
"Jones, Max",ANA,Left,0.894,0.894,0.925,0.925,0.833,RFA,
"Comrie, Eric",WPG,Goaltender,0.888,0.000,0.650,RFA,,,
"De Leo, Chase",WPG,Center,0.875,0.000,0.765,RFA,,,
"Nastasiuk, Zach",DET,Right,0.872,0.000,0.650,RFA,,,
"Aube-Kubel, Nicolas",PHI,Right,0.872,0.872,0.650,0.725,RFA,,
"Mete, Victor",MTL,Defence,0.870,0.870,0.743,0.743,0.760,RFA,
"Baptiste, Nicholas",BUF,Right,0.870,0.000,0.750,RFA,,,
"Graves, Ryan",NYR,Defence,0.865,0.000,0.650,RFA,,,
"Poirier, Emile",CGY,Left,0.863,0.000,0.833,RFA,,,
"Kapanen, Kasperi",TOR,Right,0.863,0.863,0.833,0.833,RFA,,
"Hartman, Ryan",CHI,Right,0.863,0.000,0.833,RFA,,,
"Petan, Nic",WPG,Center,0.863,0.000,0.833,RFA,,,
"Theodore, Shea",ANA,Defence,0.863,0.000,0.833,RFA,,,
"Lauzon, Jeremy ",BOS,Defence,0.863,0.863,0.718,0.725,0.775,RFA,
"Brisebois, Guillaume",VAN,Defence,0.863,0.863,0.667,0.650,0.700,RFA,
"Mantha, Anthony",DET,Right,0.863,0.000,0.833,RFA,,,
"Gauthier, Frederik",TOR,Center,0.863,0.000,0.833,RFA,,,
"Klimchuk, Morgan",CGY,Left,0.863,0.000,0.833,RFA,,,
"Kanzig, Keegan",CGY,Defence,0.863,0.000,0.650,RFA,,,
"Bjorkstrand, Oliver",CLB,Right,0.863,0.000,0.700,RFA,,,
"Vanecek, Vitek",WAS,Goaltender,0.863,0.863,0.700,0.750,RFA,,
"Bergman, Julius",SJS,Defence,0.863,0.863,0.700,0.750,RFA,,
"Barbashev, Ivan",STL,Center,0.863,0.863,0.650,0.833,RFA,,
"Fucale, Zachary",MTL,Goaltender,0.863,0.000,0.700,RFA,,,
"Bigras, Chris",COL,Defence,0.863,0.000,0.833,RFA,,,
"Chartier, Rourke",SJS,Center,0.863,0.863,0.650,0.700,RFA,,
"Kylington, Oliver",CGY,Defence,0.863,0.863,0.743,0.700,0.750,RFA,
"Nattinen, Julius",ANA,Center,0.863,0.863,0.693,0.675,0.775,RFA,
"Dermott, Travis",TOR,Defence,0.863,0.863,0.925,0.833,0.833,RFA,
"Guhle, Brendan",BUF,Defence,0.863,0.863,0.667,0.650,0.700,RFA,
"Siegenthaler, Jonas",WAS,Defence,0.863,0.863,0.667,0.650,0.750,RFA,
"Andersson, Rasmus",CGY,Defence,0.863,0.863,0.743,0.750,0.775,RFA,
"Wotherspoon, Parker",NYI,Defence,0.858,0.858,0.735,0.812,RFA,,
"Musil, Adam",STL,Center,0.858,0.858,0.735,0.812,RFA,,
"Reway, Martin ",MTL,Center,0.853,0.853,0.743,0.710,RFA,,
"Hogberg, Marcus",OTT,Goaltender,0.850,0.850,0.835,0.835,RFA,,
"Dahlbeck, Klas",CAR,Defence,0.850,0.000,0.850,RFA,,,
"Platzer, Kyle",EDM,Right,0.850,0.000,0.760,RFA,,,
"Kostalek, Jan",WPG,Defence,0.850,0.000,0.735,RFA,,,
"Lindberg, Tobias",TOR,Right,0.850,0.000,0.735,RFA,,,
"Dano, Marko",WPG,Center,0.850,0.000,0.850,RFA,,,
"Prince, Shane",NYI,Center,0.850,0.000,0.900,RFA,,,
"Spacek, Michael",WPG,Center,0.850,0.850,0.735,0.735,0.785,RFA,
"Carrier, William",BUF,Left,0.848,0.000,0.750,RFA,,,
"Timashov, Dmytro",TOR,Left,0.835,0.835,0.730,0.650,0.700,RFA,
"Higgins, Chris",VAN,Left,0.833,0.000,0.833,,,,
"Van Riemsdyk, Trevor",CHI,Defence,0.825,0.000,0.900,RFA,,,
"Manson, Josh",ANA,Defence,0.825,0.000,0.825,RFA,,,
"Friedman, Mark",PHI,Defence,0.825,0.825,0.733,0.733,0.782,RFA,
"Sedlak, Lukas",CLB,Center,0.825,0.825,0.800,0.850,RFA,,
"Lernout, Brett",MTL,Defence,0.825,0.825,0.650,0.650,RFA,,
"Leedahl, Dawson",NYR,Left,0.825,0.825,0.730,0.733,0.785,RFA,
"Bratt, Jesper",NJD,Left,0.825,0.825,0.733,0.733,0.782,RFA,
"Garland, Conor",ARI,Right,0.822,0.822,0.730,0.650,RFA,,
"Beaudin, J.C. ",COL,Right,0.817,0.817,0.730,0.782,0.782,RFA,
"Paquette, Cedric",TBL,Center,0.812,0.000,0.825,RFA,,,
"Jensen, Nick",DET,Defence,0.812,0.812,0.800,0.825,UFA,,
"Rod, Noah",SJS,Right,0.810,0.810,0.730,0.730,0.830,RFA,
"Hunt, Dryden ",FLA,Left,0.809,0.809,0.818,0.868,RFA,,
"Watson, Spencer",LAK,Right,0.808,0.808,0.730,0.733,RFA,,
"Sherwood, Kole",CLB,Right,0.805,0.805,0.730,0.700,RFA,,
"Jaros, Christian",OTT,Defence,0.802,0.802,0.730,0.730,0.805,RFA,
"Chorney, Taylor",WAS,Defence,0.800,0.000,0.825,UFA,,,
"Malenstyn, Beck",WAS,Center,0.800,0.800,0.730,0.780,0.780,RFA,
"Foegele, Warren",CAR,Left,0.800,0.800,0.730,0.730,0.780,RFA,
"Wideman, Chris",OTT,Defence,0.800,0.000,0.800,UFA,,,
"Luongo, Roberto",VAN,Goaltender,0.800,0.800,0.800,0.800,0.800,0.800,0.800
"Pateryn, Greg",DAL,Defence,0.800,0.000,0.850,UFA,,,
"Chapie, Adam",NYR,Right,0.800,0.000,0.850,RFA,,,
"Martel, Danick",PHI,Left,0.800,0.000,0.730,RFA,,,
"Helewka, Adam",SJS,Left,0.800,0.800,0.730,0.730,RFA,,
"Mangiapane, Andrew",CGY,Left,0.800,0.800,0.730,0.730,RFA,,
"Bouramman, Gustav",MIN,Defence,0.800,0.800,0.730,0.755,RFA,,
"Bunnaman, Connor",PHI,Center,0.800,0.800,0.730,0.730,0.780,RFA,
"Mayo, Dysin",ARI,Defence,0.798,0.798,0.730,0.650,RFA,,
"Roy, Nicolas ",CAR,Center,0.790,0.790,0.655,0.730,0.700,RFA,
"Jones, Caleb",EDM,Defence,0.790,0.790,0.655,0.730,0.700,RFA,
"Lajoie, Maxime",OTT,Defence,0.790,0.790,0.730,0.730,0.700,RFA,
"Murphy, Ryan",CAR,Defence,0.787,0.000,0.825,RFA,,,
"Lodge, Jimmy",WPG,Center,0.780,0.000,0.690,RFA,,,
"Deslauriers, Nicolas",BUF,Left,0.775,0.000,0.775,UFA,,,
"Bear, Ethan",EDM,Defence,0.773,0.773,0.655,0.730,0.700,RFA,
"Harpur, Ben",OTT,Defence,0.773,0.000,0.650,RFA,,,
"Jenys, Pavel",MIN,Center,0.773,0.773,0.680,0.650,RFA,,
"Hobbs, Connor",WAS,Defence,0.772,0.772,0.730,0.650,0.700,RFA,
"Nogier, Nelson ",WPG,Defence,0.772,0.772,0.720,0.770,RFA,,
"Stephens, Devante",BUF,Defence,0.767,0.767,0.730,0.722,0.778,RFA,
"Chatfield, Jalen",VAN,Right,0.765,0.765,0.710,0.765,0.820,RFA,
"Williams, Colby",WAS,Defence,0.761,0.761,0.722,0.780,RFA,,
"Lagesson, William",EDM,Defence,0.758,0.758,0.725,0.725,0.775,RFA,
"Smallman, Spencer",CAR,Right,0.758,0.758,0.725,0.725,0.775,RFA,
"Booth, Callum",CAR,Goaltender,0.758,0.758,0.725,0.725,0.775,RFA,
"Mamin, Maxim",FLA,Left,0.757,0.757,0.733,0.782,RFA,,
"Greer, A.J.",COL,Left,0.750,0.750,0.750,0.750,RFA,,
"Biega, Alex",VAN,Defence,0.750,0.000,0.800,UFA,,,
"Marchessault, Jonathan",FLA,Left,0.750,0.000,0.750,UFA,,,
"Bleackley, Conner",STL,Center,0.750,0.750,0.725,0.725,RFA,,
"Ullmark, Linus",BUF,Goaltender,0.750,0.750,0.750,0.750,UFA,,
"Pedan, Andrey",VAN,Defence,0.750,0.000,0.750,RFA,,,
"Brossoit, Laurent",EDM,Goaltender,0.750,0.000,0.850,RFA,,,
"Svedberg, Viktor",CHI,Defence,0.750,0.000,0.850,UFA,,,
"Barberio, Mark",COL,Defence,0.750,0.000,0.700,UFA,,,
"Betker, Ben",EDM,Defence,0.750,0.000,0.725,RFA,,,
"Wallmark, Lucas",CAR,Center,0.750,0.000,0.725,RFA,,,
"Kero, Tanner",CHI,Left,0.750,0.750,0.700,0.800,RFA,,
"Geertsen, Mason",COL,Defence,0.750,0.000,0.725,RFA,,,
"Cowen, Jared",TOR,Defence,0.750,0.000,0.750,,,,
"Carrick, Connor",TOR,Defence,0.750,0.000,0.850,RFA,,,
"Fogarty, Steven",NYR,Center,0.750,0.000,0.750,RFA,,,
"Fazleev, Radel",PHI,Center,0.748,0.748,0.723,0.650,RFA,,
"Caamano, Nicholas",DAL,Right,0.745,0.745,0.720,0.720,0.795,RFA,
"Nyberg, John",DAL,Defence,0.745,0.745,0.720,0.720,0.795,RFA,
"Thurkauf, Calvin",CLB,Center,0.738,0.738,0.720,0.775,RFA,,
"Blunden, Michael",OTT,Right,0.738,0.000,0.750,UFA,,,
"Fontaine, Gabriel ",NYR,Center,0.737,0.737,0.720,0.720,0.770,RFA,
"Gettinger, Tim",NYR,Right,0.737,0.737,0.720,0.720,0.770,RFA,
"Wiederer, Manuel",SJS,Center,0.737,0.737,0.720,0.720,0.770,RFA,
"Salituro, Dante",CLB,Center,0.733,0.733,0.725,0.825,RFA,,
"Reddekopp, Chaz",LAK,Defence,0.733,0.733,0.710,0.720,0.770,RFA,
"Lorentz, Steven",CAR,Center,0.728,0.728,0.715,0.710,0.760,RFA,
"Waked, Antoine",MTL,Right,0.727,0.727,0.720,0.710,0.750,RFA,
"Johns, Stephen",DAL,Defence,0.725,0.000,0.800,RFA,,,
"Pakarinen, Iiro",EDM,Right,0.725,0.000,0.725,RFA,,,
"Gambardella, Joseph",EDM,Center,0.725,0.725,0.700,0.750,RFA,,
"Carr, Daniel",MTL,Left,0.725,0.000,0.725,RFA,,,
"Dalpe, Zac",CLB,Center,0.725,0.725,0.700,0.750,UFA,,
"Bodnarchuk, Andrew",DAL,Defence,0.725,0.000,0.750,UFA,,,
"Martenet, Chris",DAL,Defence,0.722,0.722,0.720,0.745,RFA,,
"Bourque, Simon",MTL,Defence,0.720,0.720,0.720,0.700,0.740,RFA,
"Addison, Jeremiah",MTL,Left,0.720,0.720,0.720,0.700,0.740,RFA,
"Bishop, Clark",CAR,Center,0.713,0.713,0.720,0.720,RFA,,
"Lomberg, Ryan",CGY,Center,0.710,0.710,0.710,0.710,RFA,,
"Hyka, Tomas",VGK,Right,0.710,0.000,0.710,RFA,,,
"Carroll, Austin",CGY,Left,0.707,0.000,0.720,RFA,,,
"Kase, Ondrej",ANA,Right,0.707,0.000,0.720,RFA,,,
"Imama, Bokondji",LAK,Left,0.707,0.707,0.690,0.690,0.740,RFA,
"McNiven, Michael",MTL,Goaltender,0.703,0.703,0.650,0.650,0.700,RFA,
"Hart, Brian",TBL,Right,0.703,0.000,0.760,RFA,,,
"Fiore, Giovanni",ANA,Center,0.702,0.702,0.685,0.685,0.735,RFA,
"Blais, Samuel ",STL,Left,0.701,0.701,0.647,0.650,RFA,,
"Karabacek, Vaclav",BUF,Right,0.700,0.700,0.722,0.722,RFA,,
"McKenzie, Curtis",DAL,Left,0.700,0.000,0.700,UFA,,,
"Tootoo, Jordin",CHI,Right,0.700,0.000,0.700,UFA,,,
"Janmark, Mattias",DAL,Center,0.700,0.000,0.700,RFA,,,
"Kukan, Dean",CLB,Defence,0.700,0.000,0.700,RFA,,,
"Hannikainen, Markus",CLB,Left,0.700,0.700,0.650,0.750,RFA,,
"Bow, Landon",DAL,Goaltender,0.698,0.698,0.685,0.710,RFA,,
"Wilcox, Reece",PHI,Defence,0.696,0.000,0.718,RFA,,,
"Stevens, John",NYI,Center,0.695,0.695,0.695,0.695,RFA,,
"Wesley, Josh",CAR,Defence,0.695,0.695,0.720,0.720,RFA,,
"Malgin, Denis",FLA,Center,0.693,0.693,0.715,0.715,RFA,,
"Moverare, Jacob",LAK,Defence,0.692,0.692,0.720,0.720,RFA,,
"Thomas, Ben",TBL,Defence,0.690,0.690,0.716,0.715,RFA,,
"Tammela, Jonne",TBL,Right,0.690,0.690,0.716,0.715,RFA,,
"Lang, Chase",MIN,Center,0.687,0.687,0.715,0.710,RFA,,
"Martin, Brycen",BUF,Defence,0.685,0.685,0.710,0.710,RFA,,
"Fortin, Alexandre",CHI,Center,0.685,0.685,0.710,0.710,RFA,,
"Selman, Justin",STL,Center,0.682,0.000,0.715,RFA,,,
"Boikov, Sergei",COL,Defence,0.682,0.682,0.705,0.705,RFA,,
"Nantel, Julien ",COL,Center,0.680,0.680,0.705,0.705,RFA,,
"Vala, Ondrej ",DAL,Defence,0.680,0.680,0.705,0.705,RFA,,
"Pederson, Lane",ARI,Center,0.678,0.678,0.650,0.685,0.700,RFA,
"Sautner, Ashton",VAN,Defence,0.678,0.000,0.720,RFA,,,
"Ully, Cole",DAL,Left,0.677,0.000,0.600,RFA,,,
"Smereck, Jalen",ARI,Defence,0.677,0.677,0.650,0.680,0.700,RFA,
"Schneider, Nick",CGY,Goaltender,0.675,0.675,0.675,0.650,0.700,RFA,
"Megna, Jayson",VAN,Center,0.675,0.000,0.675,UFA,,,
"Carcone, Michael",VAN,Left,0.675,0.675,0.675,0.725,RFA,,
"Harrington, Scott",CLB,Defence,0.675,0.675,0.650,0.700,RFA,,
"Phillips, Jamie",WPG,Goaltender,0.675,0.000,0.713,RFA,,,
"Cracknell, Adam",DAL,Right,0.675,0.000,0.675,UFA,,,
"Martinsen, Andreas",MTL,Left,0.675,0.000,0.675,UFA,,,
"Baddock, Brandon",NJD,Left,0.673,0.673,0.700,0.700,RFA,,
"Richard, Anthony ",NAS,Center,0.672,0.672,0.715,0.650,RFA,,
"Carrier, Alexandre ",NAS,Defence,0.672,0.672,0.715,0.650,RFA,,
"Johnston, Ross",NYI,Left,0.667,0.000,0.710,RFA,,,
"Jackman, Barret",NAS,Defence,0.667,0.000,0.667,,,,
"Lewington, Tyler",WAS,Defence,0.665,0.000,0.719,RFA,,,
"Sissons, Colby",NJD,Defence,0.663,0.663,0.690,0.690,RFA,,
"McGauley, Tim",WAS,Center,0.663,0.000,0.705,RFA,,,
"Gregoire, Jeremy",MTL,Center,0.660,0.000,0.650,RFA,,,
"Brown, Joshua",FLA,Defence,0.658,0.000,0.710,RFA,,,
"Erkamps, Macoy",OTT,Defence,0.655,0.655,0.680,0.680,RFA,,
"Cave, Colby",BOS,Center,0.655,0.000,0.680,RFA,,,
"Stewart, MacKenze",VAN,Defence,0.655,0.000,0.710,RFA,,,
"Kampfer, Steven",NYR,Defence,0.650,0.650,0.650,0.650,UFA,,
"OBrien, Andrew",NAS,Defence,0.650,0.000,0.650,RFA,,,
"Terry, Chris",MTL,Left,0.650,0.000,0.650,UFA,,,
"Carrick, Sam",ANA,Center,0.650,0.650,0.650,0.650,UFA,,
"Bachman, Richard",VAN,Goaltender,0.650,0.000,0.650,UFA,,,
"Rozsival, Michal",CHI,Defence,0.650,0.000,0.650,UFA,,,
"Clifton, Tim",SJS,Center,0.650,0.650,0.650,0.650,UFA,,
"Irwin, Matt",NAS,Defence,0.650,0.000,0.650,UFA,,,
"Tangradi, Eric",DET,Left,0.650,0.000,0.650,UFA,,,
"Carey, Greg",PHI,Center,0.650,0.650,0.650,0.650,UFA,,
"Bernier, Steve",NYI,Right,0.650,0.650,0.650,0.650,UFA,,
"Dowling, Justin",DAL,Center,0.650,0.650,0.650,0.650,UFA,,
"DeMelo, Dylan",SJS,Defence,0.650,0.000,0.700,RFA,,,
"Forbort, Derek",LAK,Defence,0.650,0.000,0.650,RFA,,,
"Grosenick, Troy",SJS,Goaltender,0.650,0.650,0.650,0.650,UFA,,
"Smith, Ben",TOR,Right,0.650,0.000,0.650,UFA,,,
"Falk, Justin",BUF,Defence,0.650,0.000,0.650,UFA,,,
"Miller, Andrew",CAR,Center,0.650,0.000,0.650,UFA,,,
"Claesson, Fredrik",OTT,Defence,0.650,0.000,0.650,RFA,,,
"Loov, Viktor",NJD,Defence,0.650,0.000,0.650,RFA,,,
"Shaw, Logan",ANA,Right,0.650,0.000,0.650,RFA,,,
"Walker, Nathan",WAS,Center,0.650,0.650,0.650,0.650,RFA,,
"Christoffer, Braden",EDM,Left,0.650,0.000,0.700,RFA,,,
"Audette, Daniel",MTL,Center,0.650,0.650,0.640,0.650,RFA,,
"Tokarski, Dustin",ANA,Goaltender,0.650,0.000,0.650,UFA,,,
"Weber, Yannick",NAS,Defence,0.650,0.000,0.650,UFA,,,
"Stalock, Alex",MIN,Goaltender,0.650,0.650,0.650,0.650,UFA,,
"Fritz, Tanner",NYI,Center,0.650,0.000,0.650,RFA,,,
"Nelson, Casey",BUF,Defence,0.650,0.000,0.650,RFA,,,
"Kempe, Mario ",ARI,Left,0.650,0.000,0.650,UFA,,,
"Sergeev, Dmitrii",STL,Defence,0.644,0.644,0.650,0.650,RFA,,
"Eisenschmid, Markus",MTL,Center,0.642,0.000,0.680,RFA,,,
"Darcy, Cameron",TBL,Center,0.642,0.000,0.688,RFA,,,
"Donaghey, Cody",OTT,Defence,0.642,0.642,0.650,0.650,RFA,,
"Sharipzyanov, Damir",LAK,Defence,0.642,0.642,0.675,0.650,RFA,,
"Luff, Matt",LAK,Right,0.642,0.642,0.665,0.665,RFA,,
"Rust, Bryan",PIT,Right,0.640,0.000,0.660,RFA,,,
"Dowd, Nic",LAK,Center,0.640,0.000,0.650,UFA,,,
"Ganly, Tyler",CAR,Defence,0.640,0.000,0.690,RFA,,,
"Murphy, Trevor",NAS,Defence,0.640,0.000,0.690,RFA,,,
"McDonald, Colin",PHI,Right,0.637,0.000,0.650,UFA,,,
"Wagner, Chris",ANA,Right,0.637,0.000,0.650,UFA,,,
"Warner, Hunter",MIN,Defence,0.637,0.637,0.650,0.650,RFA,,
"Dunn, Vincent",OTT,Center,0.636,0.000,0.650,RFA,,,
"Hicketts, Joe",DET,Defence,0.635,0.635,0.650,0.650,RFA,,
"Appleby, Ken ",NJD,Goaltender,0.635,0.000,0.635,RFA,,,
"Burroughs, Kyle",NYI,Defence,0.630,0.000,0.680,RFA,,,
"Mermis, Dakota",ARI,Defence,0.627,0.000,0.670,RFA,,,
"Wilson, Scott",PIT,Center,0.625,0.000,0.660,RFA,,,
"Graovac, Tyler",MIN,Center,0.625,0.000,0.650,RFA,,,
"Melchiori, Julian",WPG,Defence,0.625,0.000,0.650,RFA,,,
"Sproul, Ryan",DET,Defence,0.625,0.000,0.650,RFA,,,
"Sissons, Colton",NAS,Right,0.625,0.625,0.650,0.650,RFA,,
"Kuhnhackl, Tom",PIT,Right,0.625,0.000,0.660,RFA,,,
"Brennan, T.J.",PHI,Defence,0.625,0.000,0.650,UFA,,,
"Mayfield, Scott",NYI,Defence,0.625,0.000,0.675,RFA,,,
"Dell, Aaron",SJS,Goaltender,0.625,0.000,0.675,UFA,,,
"Baun, Kyle",CHI,Right,0.625,0.000,0.650,RFA,,,
"Tropp, Corey",ANA,Right,0.625,0.000,0.650,UFA,,,
"Petryk, Reid",COL,Center,0.623,0.000,0.650,RFA,,,
"Moy, Tyler",NAS,Center,0.617,0.617,0.743,0.843,RFA,,
"Salomaki, Miikka",NAS,Right,0.613,0.000,0.650,RFA,,,
"Redmond, Zach",MTL,Defence,0.613,0.000,0.650,UFA,,,
"Bartkowski, Matt",CGY,Defence,0.613,0.000,0.650,UFA,,,
"Glass, Jeff",CHI,Goaltender,0.613,0.000,0.650,UFA,,,
"Vogelhuber, Trent",COL,Right,0.613,0.000,0.650,UFA,,,
"Bitetto, Anthony",NAS,Defence,0.613,0.000,0.650,UFA,,,
"Leivo, Josh",TOR,Left,0.613,0.000,0.650,RFA,,,
"Sill, Zach",WAS,Center,0.613,0.000,0.650,UFA,,,
"Granberg, Petter",NAS,Defence,0.613,0.000,0.650,RFA,,,
"Campbell, Jack",LAK,Goaltender,0.613,0.000,0.650,RFA,,,
"ONeill, Will",PHI,Defence,0.613,0.000,0.650,UFA,,,
"Bass, Cody",NAS,Center,0.613,0.000,0.650,UFA,,,
"Ness, Aaron",WAS,Defence,0.613,0.000,0.650,UFA,,,
"Coreau, Jared",DET,Goaltender,0.613,0.000,0.650,RFA,,,
"Nosek, Tomas",DET,Left,0.613,0.000,0.650,RFA,,,
"Quine, Alan",NYI,Center,0.613,0.000,0.650,RFA,,,
"McCollum, Tom",CGY,Goaltender,0.613,0.000,0.650,UFA,,,
"Hamilton, Freddie",CGY,Center,0.613,0.000,0.650,RFA,,,
"Lorito, Matt",DET,Left,0.613,0.000,0.650,UFA,,,
"Smith, Trevor",NAS,Center,0.613,0.000,0.650,UFA,,,
"Rowney, Carter",PIT,Right,0.613,0.000,0.650,UFA,,,
"Kasdorf, Jason",BUF,Goaltender,0.613,0.000,0.650,RFA,,,
"Ramage, John",CLB,Defence,0.613,0.000,0.650,UFA,,,
